,file_ids,start_times,stop_times,texts,labels
0,Ses01F_impro01_F000,6.2901,8.2357,Excuse me.,neu
1,Ses01F_impro01_F001,10.0100,11.3925,Do you have your forms?,neu
2,Ses01F_impro01_F002,14.8872,18.0175,Yeah.,neu
3,Ses01F_impro01_F003,19.2900,20.7875,Let me see them.,xxx
4,Ses01F_impro01_F004,21.3257,24.7400,Is there a problem?,xxx
5,Ses01F_impro01_F005,27.4600,31.4900,Who told you to get in this line?,neu
6,Ses01F_impro01_F006,38.9650,43.5900,You did.,fru
7,Ses01F_impro01_F007,46.5800,52.1900,You were standing at the beginning and you directed me.,fru
8,Ses01F_impro01_F008,56.1600,58.8225,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,fru
9,Ses01F_impro01_F009,61.8700,65.9700,Well what's the problem?  Let me change it.,fru
10,Ses01F_impro01_F010,66.4200,69.3400,This form is a Z.X.four.,xxx
11,Ses01F_impro01_F011,72.4500,82.2600,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",fru
12,Ses01F_impro01_F012,85.2700,88.0200,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,ang
13,Ses01F_impro01_F013,93.6700,97.0218,No. I need another set of ID to prove this is actually you.,fru
14,Ses01F_impro01_F014,97.8900,102.9600,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,neu
15,Ses01F_impro01_F015,103.9700,106.7100,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,fru
16,Ses01F_impro01_M000,7.5712,10.4750,I'm here to get an ID.,fru
17,Ses01F_impro01_M001,10.9266,14.6649,"No.  I need another ID, a separate one.",fru
18,Ses01F_impro01_M002,16.8352,19.7175,Like what?  Like a birth certificate?,fru
19,Ses01F_impro01_M003,23.4700,28.0300,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",fru
20,Ses01F_impro01_M004,28.3950,31.2117,Who the hell has a birth certificate?,fru
21,Ses01F_impro01_M005,31.2660,39.3875,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",fru
22,Ses01F_impro01_M006,41.2300,46.9800,"Yeah.  We keep it on file, but we need an ID to access that file.",fru
23,Ses01F_impro01_M007,51.4000,57.6400,That's out of control.,fru
24,Ses01F_impro01_M008,58.1800,62.5900,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,fru
25,Ses01F_impro01_M009,65.5100,73.0000,How long have you been working here?,fru
26,Ses01F_impro01_M010,81.5900,86.0300,Actually too long.,fru
27,Ses01F_impro01_M011,87.1500,94.3900,"Clearly.  You know, do you have like a supervisor or something?",ang
28,Ses01F_impro01_M012,95.8600,98.6800,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,xxx
29,Ses01F_impro01_M013,101.8400,107.8700,That would - I would appreciate that.  Yeah.,ang
30,Ses01F_impro02_F000,7.2688,16.6000,Did you get the mail? So you saw my letter?,sad
31,Ses01F_impro02_F001,19.8500,22.7800,It's not fair.,sad
32,Ses01F_impro02_F002,26.5659,32.2895,Yeah.  I know.,sad
33,Ses01F_impro02_F003,32.3075,37.9600,"I don't understand.  You've already done so much, I don't know why do you have to go back.",neu
34,Ses01F_impro02_F004,47.3400,53.1100,I don't know.  I put in that. request too. They didn't...,sad
35,Ses01F_impro02_F005,58.7500,61.3100,"I guess, you know, everybody has to make sacrifices.",sad
36,Ses01F_impro02_F006,64.2550,68.4700,"I don't know, it's just not fair.  I think you've already made your sacrifice.",neu
37,Ses01F_impro02_F007,72.3900,78.5700,"There's people that have given more though, you know?",xxx
38,Ses01F_impro02_F008,87.2031,91.0900,I just don't see how they can make you leave when you have a new baby - we have a new kid.,sad
39,Ses01F_impro02_F009,91.5500,95.8800,I know.,xxx
40,Ses01F_impro02_F010,97.9400,102.1900,Then why is that fair?  Why--,sad
41,Ses01F_impro02_F011,107.6800,111.0153,"There's babies over there, though, that need mothers.",xxx
42,Ses01F_impro02_F012,117.8300,120.8605,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,sad
43,Ses01F_impro02_F013,127.8200,133.9455,"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",sad
44,Ses01F_impro02_F014,139.0300,146.4300,I'm just trying to think of another way.  I'm just trying to...,sad
45,Ses01F_impro02_F015,151.4221,155.0100,"Just, you know, kicking myself.",sad
46,Ses01F_impro02_F016,163.5400,165.7300,like you sign up because you need money and,neu
47,Ses01F_impro02_F017,169.3600,176.0150,things just aren't what they seem.,sad
48,Ses01F_impro02_F018,176.0800,179.1300,This is a stupid war.,neu
49,Ses01F_impro02_F019,182.8300,185.8894,"We're doing the right thing, though.",sad
50,Ses01F_impro02_F020,186.5800,191.1100,I know.,sad
51,Ses01F_impro02_M000,17.6000,20.6264,I just don't see why it has to be you.,xxx
52,Ses01F_impro02_M001,21.7600,27.5558,"If not me then, who?",sad
53,Ses01F_impro02_M002,38.8500,45.0900,What am I going to do? Huh?,xxx
54,Ses01F_impro02_M003,52.7100,59.0534,"You'll videotape everything, yeah?",fru
55,Ses01F_impro02_M004,61.7500,65.0550,Yeah.,xxx
56,Ses01F_impro02_M005,69.3400,74.2900,"Maybe you can send it to me, like stream it, yeah?",sad
57,Ses01F_impro02_M006,80.0300,86.9900,Don't you guys have access to computers over there.,xxx
58,Ses01F_impro02_M007,103.2700,107.1000,Last month--  Yeah.,xxx
59,Ses01F_impro02_M008,110.5653,113.2000,I just don't know how I'm going to do it without you.,fru
60,Ses01F_impro02_M009,114.1775,117.8500,I have to find sitters.,sad
61,Ses01F_impro02_M010,120.4105,124.6300,I can't raise a baby by myself.  How?,sad
62,Ses01F_impro02_M011,133.8800,137.1000,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",sad
63,Ses01F_impro02_M012,147.0300,151.7101,I know.,neu
64,Ses01F_impro02_M013,157.9800,162.7100,And your mother is close by.,sad
65,Ses01F_impro02_M014,164.8850,169.5000,I'll send you lots of letters.,sad
66,Ses01F_impro02_M015,175.4700,176.7200,And I want lots and lots and lots of pictures.,neu
67,Ses01F_impro02_M016,195.1047,199.5200,It's just not fair.,fru
68,Ses01F_impro03_F000,4.8800,7.7400,So what's up?  What's new?,hap
69,Ses01F_impro03_F001,7.9300,11.3700,Well Vegas was awesome.,hap
70,Ses01F_impro03_F002,12.8000,15.3700,Yeah.  I heard.,hap
71,Ses01F_impro03_F003,15.8700,20.4867,"And, um, I got married.",xxx
72,Ses01F_impro03_F004,21.7500,25.5200,Shut up.  No- in Vegas?,hap
73,Ses01F_impro03_F005,25.5584,28.1400,Yeah.  In the old town part.,hap
74,Ses01F_impro03_F006,28.3700,34.7100,Who did you marry?,hap
75,Ses01F_impro03_F007,35.6349,40.1000,Chuck. [LAUGHTER],xxx
76,Ses01F_impro03_F008,40.1200,42.7900,Did you propose to you?,hap
77,Ses01F_impro03_F009,42.8400,44.5400,Um- Yes.  It was very romantic.,hap
78,Ses01F_impro03_F010,47.8700,51.0750,It was at the slot machines.,hap
79,Ses01F_impro03_F011,51.3600,53.4925,Oh.  The Wheel of Fortune slots?,xxx
80,Ses01F_impro03_F012,55.8650,58.1500,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",hap
81,Ses01F_impro03_F013,60.7300,65.8600,He turned to you and was like...,hap
82,Ses01F_impro03_F014,68.0100,73.7500,Hey.  Let's get married and I said okay.,xxx
83,Ses01F_impro03_F015,74.2675,78.8425,[LAUGHTER] That's really romantic.,exc
84,Ses01F_impro03_F016,79.0350,81.0875,"Yeah.  Well.  You know, because he's leaving the next day.",hap
85,Ses01F_impro03_F017,82.0975,85.0800,Yeah.,neu
86,Ses01F_impro03_F018,85.1000,88.0225,But we're going to have a honeymoon cruise.,neu
87,Ses01F_impro03_F019,88.0800,89.5000,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",neu
88,Ses01F_impro03_F020,91.2350,92.6150,Oh.  I hadn't even thought about that.,xxx
89,Ses01F_impro03_F021,92.7500,98.2100,Yeah.  Think about that.,hap
90,Ses01F_impro03_F022,99.7775,102.0300,"He's not going to be a citizen, though.",neu
91,Ses01F_impro03_F023,102.6200,103.4625,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,neu
92,Ses01F_impro03_F024,103.7800,108.1825,Oh.  Totally.,hap
93,Ses01F_impro03_F025,110.2300,114.1600,"Oh, how are you going to do the long distance thing?  So wait, are you going to move there?",hap
94,Ses01F_impro03_F026,114.1900,120.2000,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],hap
95,Ses01F_impro03_M000,3.2400,5.4600,Like you need another one of those.[LAUGHTER],neu
96,Ses01F_impro03_M001,6.6000,8.6600,I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,neu
97,Ses01F_impro03_M002,10.5300,13.8400,Is that your phone?,sur
98,Ses01F_impro03_M003,14.9300,18.9075,"Yeah, so [LAUGHTER] He's calling me now",exc
99,Ses01F_impro03_M004,20.2532,22.8300,He loves you.,xxx
100,Ses01F_impro03_M005,27.2800,29.6500,"He likes to keep tabs, you know.",xxx
101,Ses01F_impro03_M006,34.2500,36.3400,How much did he win at the slot?,neu
102,Ses01F_impro03_M007,37.7175,40.4700,"Uh, I think seven hundred and fifty dollars.",hap
103,Ses01F_impro03_M008,42.0900,43.4100,Really? Penny slots?,neu
104,Ses01F_impro03_M009,44.1600,49.0700,Penny slots. That's what he plays.,neu
105,Ses01F_impro03_M010,49.6100,52.4300,Wow.,xxx
106,Ses01F_impro03_M011,52.9200,56.8500,Yeah.,neu
107,Ses01F_impro03_M012,57.4600,61.3750,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,xxx
108,Ses01F_impro03_M013,65.6425,68.4400,Oh.,hap
109,Ses01F_impro03_M014,73.4100,76.9975,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,hap
110,Ses01F_impro03_M015,78.3200,80.5000,"But the pennies always get you because you end up spending like, you know, fifty bucks.",hap
111,Ses01F_impro03_M016,80.7175,82.5225,Fifty bucks. Mmhmm.,neu
112,Ses01F_impro03_M017,84.6925,87.3600,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",sur
113,Ses01F_impro03_M018,87.6425,89.0800,Yeah.,sur
114,Ses01F_impro03_M019,89.1200,93.9100,Well so now we're married. We have cat children.,neu
115,Ses01F_impro03_M020,97.0300,101.6500,Awesome.,neu
116,Ses01F_impro03_M021,101.6700,104.3500,[LAUGHTER] Cat babies.,neu
117,Ses01F_impro03_M022,105.2900,106.9500,"We renamed Brenda, Lumber Janet.",exc
118,Ses01F_impro03_M023,107.7100,111.4000,That's fair enough.,hap
119,Ses01F_impro03_M024,117.3600,119.5800,She needs a new name each state that we go into. [LAUGHTER],neu
120,Ses01F_impro04_F000,7.2455,11.6400,"Have you tried, uh, Craig's List?",neu
121,Ses01F_impro04_F001,11.7448,16.1500,"Uh, what?  Craig's List?  Oh the internet thing?",neu
122,Ses01F_impro04_F002,18.6000,30.8976,Yeah.,fru
123,Ses01F_impro04_F003,35.0090,37.8000,I don't know.  Isn't that-- that's all like escort services and things like that.,xxx
124,Ses01F_impro04_F004,40.2300,41.9500,No.  There's regular jobs on there.,xxx
125,Ses01F_impro04_F005,43.3500,45.7596,"I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.",neu
126,Ses01F_impro04_F006,46.2735,49.8300,Uh huh.,neu
127,Ses01F_impro04_F007,50.1100,54.3100,I'm just saying I have a friend that got a good job on it so I was just recommending it.,fru
128,Ses01F_impro04_F008,54.3700,55.6700,What kind of a job?,xxx
129,Ses01F_impro04_F009,58.7100,60.0937,He's like a manager for a theatre.,neu
130,Ses01F_impro04_F010,60.6771,66.5275,Really?,xxx
131,Ses01F_impro04_F011,69.4300,70.9400,He's like a house manager. Yeah.  It's a good job.,xxx
132,Ses01F_impro04_F012,72.1300,74.7300,He just...,xxx
133,Ses01F_impro04_F013,76.4900,80.7269,you know what?  I heard about that job.  I applied for that.,neu
134,Ses01F_impro04_F014,85.4900,86.9800,You did?,neu
135,Ses01F_impro04_F015,87.2203,93.3300,Yeah.  I saw a posting at the theatre.,xxx
136,Ses01F_impro04_F016,97.4100,101.0475,Yeah.,fru
137,Ses01F_impro04_F017,102.7800,105.4150,He got it?,fru
138,Ses01F_impro04_F018,106.1700,111.8600,You've been looking for a job for a long time; that was a long time ago.  Right?,fru
139,Ses01F_impro04_F019,114.9200,122.3100,Yeah.,fru
140,Ses01F_impro04_F020,122.4000,129.9300,Hmm.,xxx
141,Ses01F_impro04_F021,133.7400,137.4400,What did he do?  What was so great?  I don't understand why they would pick him over me.,fru
142,Ses01F_impro04_F022,138.1300,139.8900,I don't know.  He had a really good resume I guess and--,fru
