,Unnamed: 0,file_ids,start_times,stop_times,texts,labels
8833,8833,Ses05F_script03_1_M010,61.08,64.19,"Darling, come here and kiss me before your body rots and worms pop in and out of your eye sockets.",xxx
5552,5552,Ses03M_script03_1_F004,29.84,32.905,Well it must be them then.,exc
7763,7763,Ses04M_script03_2_M005,33.82,36.97,They sting.,fru
360,360,Ses01F_script01_1_F018,176.96,179.75,I don't want to argue but it's time he realized that nobody believes Larry is alive.,xxx
4949,4949,Ses03M_impro05b_F011,71.09,77.81,"What I can do for you is uh we can uh report lost, lost property.",neu
1247,1247,Ses01M_impro07_M003,20.92,34.38,No it's all boys. All boys' softball team.,exc
1149,1149,Ses01M_impro06_F000,10.0955,12.68,You okay?,neu
2910,2910,Ses02M_impro05_F018,141.8,145.15,"I mean -- I've been away for a while and- and now I've- I've gifts for- for you know friends and family I mean, I got stuff in the there",neu
6062,6062,Ses04F_impro07_F005,19.74,24.33,From U.S.C..,exc
4832,4832,Ses03M_impro04_F029,265.84,268.88,I am...just like a law clerk.,neu
3661,3661,Ses03F_impro02_F007,45.3025,50.76,oh.,exc
6734,6734,Ses04F_script03_2_F008,49.92,53.07,"You must admit that he was in love with you, wasn't he?",fru
5338,5338,Ses03M_script01_3_M002,37.1821,39.4064,"Give me a kiss Ann, just give me...",sur
518,518,Ses01F_script01_3_M018,180.26,186.3491,"Yeah, sure.",xxx
9925,9925,Ses05M_script03_2_F031,193.7,196.85,"Nothing.  Are you going out somewhere, darling?",xxx
6871,6871,Ses04M_impro02_F007,83.19,90.82,"When you get back, think of all of the things that you're going to have missed.",fru
35,35,Ses01F_impro02_F005,58.75,61.31,"I guess, you know, everybody has to make sacrifices.",sad
5593,5593,Ses03M_script03_1_M013,80.12,85.16,"Elliot, worms don't pop.",xxx
655,655,Ses01F_script02_2_F045,455.5669,460.16,"Listen, do you want to dance?",hap
4850,4850,Ses03M_impro04_M014,127.57,129.49,You could be an amazing receptionist.,neu
6336,6336,Ses04F_script01_1_M009,79.17,85.64,How do you know she'll marry you?  Maybe she feels the same way father does.,ang
9798,9798,Ses05M_script02_2_M012,106.52,109,"Because you know what you get, Carla?  You know what you get?  This.",fru
3905,3905,Ses03F_impro06_M011,202.6138,208.2432,"Joe, do you think he knew I loved him?",sad
39,39,Ses01F_impro02_F009,91.55,95.88,I know.,xxx
7607,7607,Ses04M_script02_2_M010,81.8272,84.12,You want to get married again?,xxx
1793,1793,Ses01M_script03_2_M018,135.3979,138.18,Shut up.,neu
8257,8257,Ses05F_impro05_M045,330.6,334.14,It's not like I can go to Kmart and buy another.,fru
6536,6536,Ses04F_script02_1_M020,126.57,133.48,a little bit of the unexplainable.  I don't see how you cannot be interested.,fru
6289,6289,Ses04F_script01_1_F007,60.27,63.5161,"I don't know.  When it cracked, he ran back into the house and cried in the kitchen.",xxx
7061,7061,Ses04M_impro05_F028,206.09,210.63,You understand that the contents of my bag- The contents of my bag cost a hundred and fifty dollars.,fru
2906,2906,Ses02M_impro05_F014,111.7101,113.5505,I really - I really need that bag.,neu
9035,9035,Ses05M_impro02_M020,131.87,139.85,"I mean, I-I know that you're a good soldier, but not everybody else is. and what if",xxx
5180,5180,Ses03M_script01_1_F012,113.1996,116.0999,"God, what was he doing out there anyway?",xxx
7244,7244,Ses04M_impro07_M041,252.3,258.53,Well just don't go south of campus.  Don't get a gun. That's stupid. I mean-,neu
9040,9040,Ses05M_impro02_M025,169.3,178.68,[GARBAGE] You have to write me everyday.,sad
1713,1713,Ses01M_script03_1_M023,121.81,127.49,The one when you put that little wooden painted snake in my bed?,xxx
9728,9728,Ses05M_script02_1_M015,145.02,146.85,"What are you so excited about.  This isn't rocket science, this is just fish.  Fish nobody even eats.",xxx
3143,3143,Ses02M_script01_1_F022,179.04,186.73,"Why -- why shouldn't he dream of him? Walk around, waiting for him at night I mean do we contradict him, do we say straight out that we don't have any hope anymore that we haven't had hope for years now?",fru
1107,1107,Ses01M_impro05_F028,148.72,150.76,It's a tiny little bag.,neu
2894,2894,Ses02M_impro05_F002,14.74,16.49,It seems that uh- my-my bag didn't make it out on the carousel.,neu
3647,3647,Ses03F_impro01_M005,39.21,40.8066,I am not-,neu
7760,7760,Ses04M_script03_2_M002,21.6,24.44,"Snap.  Oh, snap, snap, snap, like a little adder.",xxx
9074,9074,Ses05M_impro03_F026,194.21,196.27,"Yes.  We did that in the beginning, exactly.  So we had, so we just had, you know, good times the rest of the weekend, yeah.",neu
4721,4721,Ses03M_impro03_F002,14.285,25.0825,"Esmeralda, guess what?",sur
5247,5247,Ses03M_script01_1_M032,263.8218,267.2846,The business doesn't inspire me.,xxx
4687,4687,Ses03M_impro02_M006,46.065,48.8288,and we'll have that happy life.,sad
9298,9298,Ses05M_impro07_F026,112.29,117.11,"What are you, wait, what are you doing?",neu
2108,2108,Ses02F_impro07_F036,200.2705,202.51,"I know. I know.  I think you go and you like stay for a couple of days and you meet people and--And they'll give you like a tour--And show you everything.  Oh, man, I'm just so--I'm so excited.",exc
1208,1208,Ses01M_impro06_M030,227.54,234.26,Are there things you wish you'd done differently?,sad
8140,8140,Ses05F_impro04_M018,199.63,224.87,"Yeah, I always think so, but I- I just feel like it's a lot of lip service everywhere I go.",xxx
7612,7612,Ses04M_script02_2_M015,119.17,124.55,No.,fru
9784,9784,Ses05M_script02_2_F037,428.3,441.78,No.,hap
1597,1597,Ses01M_script02_2_M004,29.465,31.7161,No.,xxx
